1;Zijun LI;CHN;159,8
2;Laurine LECAVELIER;FRA;162,99
3;Kailani CRAINE;AUS;152,94
4;Angelina KUCHVALSKA;LAT;155,02
5;Nicole SCHOTT;GER;161,41
6;Anastasia GALUSTYAN;ARM;153,47
7;Nicole RAJICOVA;SVK;165,55
8;Loena HENDRICKX;BEL;172,82
9;Xiangning LI;CHN;175,37
10;Ivett TOTH;HUN;160,77
11;Mariah BELL;USA;187,23
12;Mai MIHARA;JPN;197,88
13;Dabin CHOI;KOR;191,11
14;Rika HONGO;JPN;169,83
15;Elizabet TURSYNBAEVA;KAZ;191,99
16;Ashley WAGNER;USA;193,54
17;Carolina KOSTNER;ITA;196,83
18;Wakaba HIGUCHI;JPN;188,05
19;Maria SOTSKOVA;RUS;192,2
20;Karen CHEN;USA;199,29
21;Anna POGORILAYA;RUS;183,37
22;Evgenia MEDVEDEVA;RUS;233,41
23;Gabrielle DALEMAN;CAN;213,52
24;Kaetlyn OSMOND;CAN;218,13
