Nyelv;2009;2010;2011;2012;2013;2014;2015;2016;2017
angol;70961;70485;69553;62613;56619;56917;63467;61919;48503
arab;10;20;17;11;11;8;9;23;19
bolgár;6;0;0;0;0;0;1;2;1
cigány (beás);69;57;33;17;18;20;13;18;11
cigány (lovári);751;662;513;443;334;374;504;710;801
cseh;9;17;4;15;13;7;7;4;0
dán;14;11;9;8;9;10;16;12;5
eszperantó;2332;2310;2028;1808;1574;1447;1212;1301;696
finn;43;56;43;34;22;24;18;24;22
francia;2248;2108;2072;1695;1387;1285;1236;1197;949
héber;30;31;16;15;14;12;15;7;3
holland;42;37;29;37;25;31;38;51;41
horvát;204;127;131;100;88;92;57;80;73
japán;16;25;20;21;25;18;25;15;23
kínai;16;14;14;10;12;1;11;3;10
latin;197;227;156;132;96;75;78;51;58
lengyel;43;0;0;0;0;3;9;15;10
magyar;211;230;218;182;180;174;172;193;208
német;23561;22758;21094;19213;16587;16044;16390;16078;12145
ógörög;1;0;3;0;0;0;2;3;1
olasz;1428;1424;1216;1019;908;937;964;940;667
orosz;527;548;438;429;354;392;378;397;297
portugál;31;4;2;9;3;5;3;1;0
román;156;151;130;120;81;95;71;59;62
ruszin;0;0;0;0;0;0;1;0;0
spanyol;1006;1243;1088;970;884;852;972;896;823
svéd;40;45;31;36;33;26;24;43;50
szerb;75;67;61;75;37;63;52;42;40
szlovák;152;240;302;209;145;126;132;118;84
szlovén;8;2;1;4;2;4;5;7;3
török;20;0;25;22;22;17;35;21;24
újgörög;13;22;16;8;13;25;13;16;9
ukrán;2;2;0;0;1;10;11;19;23
